"owner","section","slot","player_id","player_name"
"Ali","hitting","C","669257","Will Smith"
"Ali","hitting","1B","547180","Bryce Harper"
"Ali","hitting","2B","702332","Caleb Durbin"
"Ali","hitting","3B","665862","Jazz Chisholm Jr."
"Ali","hitting","SS","683011","Anthony Volpe"
"Ali","hitting","OF","663656","Kyle Tucker"
"Ali","hitting","OF","680776","Jarren Duran"
"Ali","hitting","OF","663757","Trent Grisham"
"Ali","hitting","Util","518692","Freddie Freeman"
"Ali","hitting","Util","660271","Shohei Ohtani"
"Ali","pitching","SP","669373","Tarik Skubal"
"Ali","pitching","SP","607074","Carlos Rodón"
"Ali","pitching","RP","656730","Trevor Megill"
"Ali","pitching","RP","670280","David Bednar"
"Ali","pitching","P","684007","Shota Imanaga"
"Ali","pitching","P","656302","Dylan Cease"
"Ali","pitching","W","605400","Aaron Nola"
"Baker","hitting","C","608348","Carson Kelly"
"Baker","hitting","1B","664761","Alec Bohm"
"Baker","hitting","2B","681082","Bryson Stott"
"Baker","hitting","3B","553993","Eugenio Suárez"
"Baker","hitting","SS","607208","Trea Turner"
"Baker","hitting","OF","677594","Julio Rodríguez"
"Baker","hitting","OF","668227","Randy Arozarena"
"Baker","hitting","OF","673548","Seiya Suzuki"
"Baker","hitting","Util","592206","Nick Castellanos"
"Baker","hitting","Util","664056","Harrison Bader"
"Baker","hitting","W","645302","Victor Robles"
"Baker","pitching","SP","669923","George Kirby"
"Baker","pitching","SP","622491","Luis Castillo"
"Baker","pitching","RP","661395","Jhoan Duran"
"Baker","pitching","RP","662253","Andrés Muñoz"
"Baker","pitching","P","671922","Cade Smith"
"Baker","pitching","P","621111","Walker Buehler"
"Brian","hitting","C","661388","William Contreras"
"Brian","hitting","1B","665489","Vladimir Guerrero Jr."
"Brian","hitting","2B","593871","Jorge Polanco"
"Brian","hitting","3B","571970","Max Muncy"
"Brian","hitting","SS","621020","Dansby Swanson"
"Brian","hitting","OF","694192","Jackson Chourio"
"Brian","hitting","OF","592885","Christian Yelich"
"Brian","hitting","OF","606192","Teoscar Hernández"
"Brian","hitting","Util","593428","Xander Bogaerts"
"Brian","hitting","Util","682829","Elly De La Cruz"
"Brian","hitting","W","682985","Riley Greene"
"Brian","pitching","SP","669302","Logan Gilbert"
"Brian","pitching","SP","592332","Kevin Gausman"
"Brian","pitching","RP","682842","Abner Uribe"
"Brian","pitching","RP","656546","Jeff Hoffman"
"Brian","pitching","P","669456","Shane Bieber"
"Brian","pitching","P","671096","Andrew Abbott"
"Mitch","hitting","C","663728","Cal Raleigh"
"Mitch","hitting","1B","650333","Luis Arraez"
"Mitch","hitting","2B","605141","Mookie Betts"
"Mitch","hitting","3B","669242","Tommy Edman"
"Mitch","hitting","SS","596115","Trevor Story"
"Mitch","hitting","OF","656811","Ryan O'Hearn"
"Mitch","hitting","OF","665487","Fernando Tatis Jr."
"Mitch","hitting","OF","641355","Cody Bellinger"
"Mitch","hitting","Util","665926","Andrés Giménez"
"Mitch","hitting","Util","662139","Daulton Varsho"
"Mitch","hitting","W","676609","José Caballero"
"Mitch","pitching","SP","808967","Yoshinobu Yamamoto"
"Mitch","pitching","SP","608331","Max Fried"
"Mitch","pitching","RP","663158","Robert Suarez"
"Mitch","pitching","RP","642207","Devin Williams"
"Mitch","pitching","P","607192","Tyler Glasnow"
"Mitch","pitching","P","686218","Emmet Sheehan"
"Reed","hitting","C","669224","Austin Wells"
"Reed","hitting","1B","683737","Michael Busch"
"Reed","hitting","2B","663538","Nico Hoerner"
"Reed","hitting","3B","608070","José Ramírez"
"Reed","hitting","SS","676391","Ernie Clement"
"Reed","hitting","OF","691718","Pete Crow-Armstrong"
"Reed","hitting","OF","680757","Steven Kwan"
"Reed","hitting","OF","664023","Ian Happ"
"Reed","hitting","Util","700932","Kyle Manzardo"
"Reed","hitting","Util","807713","Matt Shaw"
"Reed","pitching","SP","650911","Cristopher Sánchez"
"Reed","pitching","SP","668909","Gavin Williams"
"Reed","pitching","RP","694037","Daniel Palencia"
"Reed","pitching","RP","552640","Andrew Kittredge"
"Reed","pitching","P","571510","Matthew Boyd"
"Reed","pitching","P","641745","Brad Keller"
"Reed","pitching","W","668881","Hunter Greene"
"Russ","hitting","C","592663","J.T. Realmuto"
"Russ","hitting","1B","683734","Andrew Vaughn"
"Russ","hitting","2B","668930","Brice Turang"
"Russ","hitting","3B","608324","Alex Bregman"
"Russ","hitting","SS","666182","Bo Bichette"
"Russ","hitting","OF","656941","Kyle Schwarber"
"Russ","hitting","OF","543807","George Springer"
"Russ","hitting","OF","681624","Andy Pages"
"Russ","hitting","Util","672386","Alejandro Kirk"
"Russ","hitting","Util","500743","Miguel Rojas"
"Russ","pitching","SP","642547","Freddy Peralta"
"Russ","pitching","SP","693433","Bryan Woo"
"Russ","pitching","RP","656945","Tanner Scott"
"Russ","pitching","RP","682990","Quinn Priester"
"Russ","pitching","P","666200","Jesús Luzardo"
"Russ","pitching","P","477132","Clayton Kershaw"
"Russ","pitching","W","681911","Alex Vesia"
"Tim","hitting","C","700250","Ben Rice"
